Run,Cell_line,Cellosaurus_ID
SRR8615246,Capan-2,CVCL_0026
SRR8615247,Capan-1,CVCL_0237
SRR8615249,CAS-1,CVCL_1117
SRR8615253,NCI-H2066,CVCL_1520
SRR8615256,NCI-H2029,CVCL_1516
SRR8615257,NCI-H2023,CVCL_1515
SRR8615260,NCI-H1975,CVCL_1511
SRR8615264,CAL-51,CVCL_1110
SRR8615266,CAL-29,CVCL_1808
SRR8615267,CAL 27,CVCL_1107
SRR8615268,CAL-148,CVCL_1106
SRR8615269,CAL-12T,CVCL_1105
SRR8615270,CAL-120,CVCL_1104
SRR8615271,Caki-2,CVCL_0235
SRR8615272,Caki-1,CVCL_0234
SRR8615275,HEC-1-A,CVCL_0293
SRR8615276,HEC-151,CVCL_2925
SRR8615278,HDQ-P1,CVCL_2067
SRR8615281,HCT-15,CVCL_0292
SRR8615282,HCT 116,CVCL_0291
SRR8615284,HCC827,CVCL_2063
SRR8615286,EKVX,CVCL_1195
SRR8615287,EFO-27,CVCL_1192
SRR8615288,EHEB,CVCL_1194
SRR8615290,EFO-21,CVCL_0029
SRR8615292,EFM-192A,CVCL_1812
SRR8615293,EM-2,CVCL_1196
SRR8615296,PK-1,CVCL_4717
SRR8615297,DU4475,CVCL_1183
SRR8615306,SNU-308,CVCL_5048
SRR8615307,SNU-283,CVCL_5044
SRR8615309,SNU-216,CVCL_3946
SRR8615310,SNU-398,CVCL_0077
SRR8615313,SNU-324,CVCL_5051
SRR8615314,NALM-1,CVCL_0091
SRR8615318,NALM-19,CVCL_1835
SRR8615319,Hs 751.T,CVCL_0891
SRR8615322,Hs 746T,CVCL_0333
SRR8615323,Hs 822.T,CVCL_0933
SRR8615326,Hs 821.T,CVCL_0932
SRR8615327,Hs 839.T,CVCL_0941
SRR8615330,SF767,CVCL_6950
SRR8615333,UO-31,CVCL_1911
SRR8615334,UM-UC-3,CVCL_1783
SRR8615335,UM-UC-1,CVCL_2743
SRR8615337,UACC-893,CVCL_1782
SRR8615340,UACC-257,CVCL_1779
SRR8615341,NCI-H1048,CVCL_1453
SRR8615344,NB-1,CVCL_GZ01
SRR8615345,NAMALWA,CVCL_0067
SRR8615349,KMS-20,CVCL_2990
SRR8615350,KMS-21BM,CVCL_2991
SRR8615353,KMRC-3,CVCL_2985
SRR8615354,KMS-11,CVCL_2989
SRR8615357,KELLY,CVCL_2092
SRR8615358,KE-97,CVCL_3386
SRR8615359,PA-TU-8988T,CVCL_1847
SRR8615360,KASUMI-2,CVCL_0590
SRR8615361,KASUMI-1,CVCL_0589
SRR8615362,KATO III,CVCL_0371
SRR8615363,Kasumi-6,CVCL_0614
SRR8615366,KE-39,CVCL_3385
SRR8615367,KE-37,CVCL_1327
SRR8615368,SU-DHL-5,CVCL_1735
SRR8615369,SU-DHL-6,CVCL_2206
SRR8615371,Panc 08.13,CVCL_1638
SRR8615373,ST486,CVCL_1712
SRR8615374,STM9101,CVCL_8000
SRR8615376,SU-DHL-10,CVCL_1889
SRR8615380,GRANTA-519,CVCL_1818
SRR8615381,GP2d,CVCL_2450
SRR8615382,GOS-3,CVCL_2050
SRR8615383,GMS-10,CVCL_1233
SRR8615384,GI-1,CVCL_1231
SRR8615385,GDM-1,CVCL_1230
SRR8615386,GCT,CVCL_1229
SRR8615387,Li-7,CVCL_3840
SRR8615390,TE-8,CVCL_1766
SRR8615391,KYM-1,CVCL_3007
SRR8615394,LU99,CVCL_3015
SRR8615396,LS1034,CVCL_1382
SRR8615397,LP-1,CVCL_0012
SRR8615398,LS 180,CVCL_0397
SRR8615400,LN-340,CVCL_3955
SRR8615403,LN-319,CVCL_3958
SRR8615404,AGS,CVCL_0139
SRR8615407,ABC-1,CVCL_1066
SRR8615409,AML-193,CVCL_1071
